Store Name,Description,Department,Qty Sold,Cost,Retail,Total Retail,Margin,Profit
Golden LLC,SANTIAGO BURRITO,CO  : HOT FOOD,3373,3.00,4.49,"15,162.73",33.18,"5,025.77"
CEDAR   LLC,PIZZA SLICE ,CO  : HOT FOOD,2508,2.40,3.99,"10,038.84",39.85,"3,987.72"
BOULDER   LLC,SUGAR BEVERAGE FEE 20 OZ,SUGAR FEE  (OPERATIONAL ONLY),2339,0.40,0.40,937.20,0.00,0.00
HAWK   LLC,REGULAR DONUTS WHOLESALE,CO  : BAKERY,2275,2.14,2.99,"6,808.23",28.43,"1,933.75"
Zuni   LLC,DISPOSABLE BAG FEE $.10,CO  : DISPOSAL BA ,1661,0.15,0.10,177.89,-50.00,-83.05
BOULDER   LLC,SUGAR BEVERAGE FEE 12 OZ,SUGAR FEE  (OPERATIONAL ONLY),1529,0.24,0.24,372.35,0.00,0.00
CHEYENNE   LLC,KANVA FOCUS + FLOW KRATOM ENHANCED,SMOKE SHOP,1370,4.53,9.99,"12,605.30",54.70,"7,487.05"
Zuni   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT 2 OZ,BEVERAGE : SPECIALITY,1366,4.95,9.99,"13,646.34",50.45,"6,884.64"
Zuni   LLC,SANTIAGO BURRITO,CO  : HOT FOOD,1136,3.00,4.59,"5,212.65",34.64,"1,806.24"
BOULDER   LLC,SUGAR BEVERAGE FEE 16 OZ,SUGAR FEE  (OPERATIONAL ONLY),1005,0.32,0.32,322.56,0.00,0.00
Golden LLC,RED BULL REGULAR 12 OZ,BEVERAGE : STANDARD,913,2.05,3.99,"3,642.87",48.62,"1,771.22"
BOULDER   LLC,SUGAR BEVERAGE FEE 28 OZ,SUGAR FEE  (OPERATIONAL ONLY),871,0.56,0.56,487.76,0.00,0.00
CHEYENNE   LLC,FOUNTAIN REFILL,CO  : FOUNTAIN,869,0.72,1.09,947.21,33.94,321.53
Golden LLC,MARLBORO GOLD PACK BOX,CIGARETTES,808,9.92,11.39,"9,151.27",12.94,"1,190.99"
CEDAR   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,800,2.19,3.99,"3,192.00",45.23,"1,443.68"
Zuni   LLC,BIC LIGHTER LARGE ,COUNTER DISPLAY,779,0.75,2.59,"2,017.61",70.87,"1,429.85"
BOULDER   LLC,SUGAR BEVERAGE FEE 15.5 OZ,SUGAR FEE  (OPERATIONAL ONLY),778,0.31,0.31,241.18,0.48,1.17
WHEAT   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT,BEVERAGE : SPECIALITY,758,4.40,9.99,"6,182.27",55.96,"4,237.22"
CEDAR   LLC,FULL PIZZA ,CO  : HOT FOOD,753,7.80,12.99,"9,807.45",39.95,"3,908.07"
Zuni   LLC,ZYN COOL MINT 6MG,POUCH,742,6.65,8.99,"6,670.58",26.03,"1,736.28"
Zuni   LLC,GLACEAU SMARTWATER 1 LTR,BEVERAGE : STANDARD,734,1.83,3.49,"2,561.66",47.61,"1,219.69"
Zuni   LLC,ELDORADO 1 LTR,BEVERAGE : STANDARD,715,0.77,2.39,"1,708.85",67.75,"1,157.73"
CHEYENNE   LLC,FOUNTAIN LARGE ,CO  : FOUNTAIN,699,1.20,1.99,"1,391.61",39.70,552.21
CHEYENNE   LLC,COFFEE REFILL $1.09,CO  : COFFEE & TEA,698,0.65,1.09,760.82,40.37,307.12
CEDAR   LLC,ICE BAG SMALL 7 LB,EXTERIOR :  ICE,688,1.75,3.09,"2,125.92",43.37,921.92
Zuni   LLC,SMOKE SHOP $3.99,SMOKE SHOP,668,0.31,3.99,"2,665.32",92.23,"2,458.24"
BOULDER   LLC,SUGAR BEVERAGE FEE 8.4 OZ,SUGAR FEE  (OPERATIONAL ONLY),664,0.17,0.17,112.37,0.49,0.60
Zuni   LLC,ZYN SPEARMINT 6MG,POUCH,653,6.65,8.99,"5,888.45",26.03,"1,528.02"
Golden LLC,MARLBORO BOX,CIGARETTES,648,9.92,11.39,"7,388.03",12.94,955.15
Golden LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,647,1.74,3.59,"2,322.73",51.53,"1,196.95"
CHEYENNE   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT 2 OZ,BEVERAGE : SPECIALITY,644,4.95,9.99,"6,433.56",50.45,"3,245.76"
Golden LLC,PIZZA SLICE ,CO  : HOT FOOD,618,2.40,3.99,"2,465.82",39.85,982.62
Zuni   LLC,LITTLE MANS PINT,ICE CREAM,613,5.50,8.29,"5,081.77",33.66,"1,710.27"
Zuni   LLC,ZYN WINTERGREEN 6MG,POUCH,604,6.65,8.99,"5,429.96",26.03,"1,413.36"
Zuni   LLC,GLACEAU SMART WATER 700 ML,BEVERAGE : STANDARD,573,1.45,2.99,"1,711.79",51.55,883.16
CEDAR   LLC,MARLBORO BOX,CIGARETTES,570,9.92,11.39,"6,454.56",12.94,840.18
Zuni   LLC,ZYN PEPPERMINT 6MG,POUCH,563,6.65,8.99,"5,061.37",26.03,"1,317.42"
CEDAR   LLC,COFFEE REFILL $1.09,CO  : COFFEE & TEA,557,0.65,1.09,607.13,40.37,245.08
Golden LLC,COFFEE MEDIUM,CO  : COFFEE & TEA,551,1.32,2.19,"1,206.69",39.73,479.37
Golden LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,536,1.50,3.09,"1,656.24",51.46,852.24
Golden LLC,ZYN PEPPERMINT 6MG,POUCH,535,6.65,8.99,"4,827.63",26.03,"1,251.90"
Zuni   LLC,SMOKE SHOP $1.99,SMOKE SHOP,508,0.29,1.99,"1,010.92",85.39,863.19
CHEYENNE   LLC,MARLBORO BOX,CIGARETTES,506,8.33,9.28,"4,701.27",10.23,480.19
HAWK   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,499,9.92,11.39,"5,649.61",12.94,735.53
COLFAX   LLC,"$1 monopoly $10,000!",LOTTERY,497,0.00,1.00,497.00,100.00,497.00
BOULDER   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,478,2.05,3.99,"1,907.22",48.62,927.32
HAWK   LLC,COFFEE REFILL $1.09,CO  : COFFEE & TEA,476,0.65,1.09,531.14,40.37,209.44
CHEYENNE   LLC,FOUNTAIN MEDIUM ,CO  : FOUNTAIN,472,1.08,1.79,848.46,39.66,335.12
BOULDER   LLC,BREAKFAST BURRITO ,CO  : HOT FOOD,469,3.00,5.99,"2,809.31",49.92,"1,402.31"
Zuni   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,466,2.06,3.99,"1,859.34",48.36,899.19
Zuni   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,461,9.92,11.39,"5,221.55",12.94,679.51
CHEYENNE   LLC,D8FLIGHT PRE ROLLS 1 G BIG CASE WHITE WIDOW  HYBRID,SMOKE SHOP,458,2.10,7.99,"3,676.42",73.72,"2,697.62"
Golden LLC,ZYN WINTERGREEN 6MG,POUCH,456,6.65,8.99,"4,099.44",26.03,"1,067.04"
CEDAR   LLC,DR PEPPER 20 OZ,BEVERAGE : STANDARD,454,1.61,2.99,"1,357.46",46.14,626.34
CEDAR   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,453,9.92,11.39,"5,128.73",12.94,667.72
CHEYENNE   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,453,2.00,3.99,"1,807.47",49.93,902.42
Golden LLC,RED BULL SUMMER EDITION ENERGY 12 OZ,BEVERAGE : STANDARD,452,2.05,3.99,"1,801.50",48.62,876.88
HAWK   LLC,FILLED DONUTS WHOLESALE,CO  : BAKERY,437,1.67,3.99,"1,743.63",58.23,"1,015.33"
CHEYENNE   LLC,MDEW 20 OZ,BEVERAGE : STANDARD,434,1.58,2.99,"1,303.64",47.05,610.51
Golden LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,431,1.74,3.59,"1,547.29",51.53,797.35
Golden LLC,GLACEAU SMARTWATER 33.8 OZ,BEVERAGE : STANDARD,428,1.83,3.49,"1,493.72",47.61,711.21
CEDAR   LLC,COCA COLA CLASSIC 20 OZ,BEVERAGE : STANDARD,427,1.58,2.99,"1,276.73",47.05,600.66
CHEYENNE   LLC,BREAKFAST ,CO  : HOT FOOD,421,2.40,3.99,"1,677.30",39.85,669.39
Zuni   LLC,DR PEPPER 20 OZ,BEVERAGE : STANDARD,419,1.61,2.99,"1,252.81",46.14,578.05
Zuni   LLC,ZYN WINTERGREEN 3MG,POUCH,416,6.65,8.99,"3,739.84",26.03,973.44
CHEYENNE   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,414,1.68,3.59,"1,486.26",53.20,790.74
Zuni   LLC,COCA COLA CLASSIC 20 OZ,BEVERAGE : STANDARD,414,1.58,2.99,"1,249.82",47.05,582.37
Golden LLC,ZYN SPEARMINT 6MG,POUCH,406,6.65,8.99,"3,649.94",26.03,950.04
CEDAR   LLC,MDEW 20 OZ,BEVERAGE : STANDARD,404,1.61,2.99,"1,207.96",46.14,557.36
CEDAR   LLC,LUCKY STRIKE RED 100 FILT,CIGARETTES,404,8.30,7.79,"3,131.54",-6.53,-205.64
Zuni   LLC,ZYN SPEARMINT 3MG,POUCH,399,6.65,8.99,"3,587.01",26.03,933.66
Zuni   LLC,MARLBORO BOX,CIGARETTES,386,9.92,11.39,"4,394.67",12.94,568.96
Zuni   LLC,ZYN CITRUS 6MG,POUCH,385,6.65,8.99,"3,461.15",26.03,900.90
Golden LLC,MARLBORO GOLD PACK 100 BO,CIGARETTES,384,9.92,11.39,"4,370.87",12.94,566.02
HAWK   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,380,10.85,12.61,"4,762.61",13.96,668.80
HAWK   LLC,AMERICAN SPIRIT ORG 85 BX,CIGARETTES,373,11.33,13.18,"4,887.58",14.04,690.05
Zuni   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,373,1.74,3.59,"1,339.07",51.53,690.05
Golden LLC,RED BULL ENERGY DRINK 8.4 OZ,BEVERAGE : STANDARD,372,1.52,3.29,"1,242.04",53.77,658.14
CHEYENNE   LLC,WY TRIBUNE 2.00,EXTERIOR : PUBLICATION,368,1.10,2.00,740.00,45.00,331.20
CHEYENNE   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,357,8.33,9.28,"3,335.64",10.23,338.79
LITTLETON   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,355,9.92,11.39,"4,021.18",12.94,523.27
BOULDER   LLC,AMERICAN SPIRIT 85 BOX YE,CIGARETTES,354,10.85,12.61,"4,437.27",13.96,623.04
BOULDER   LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,354,1.56,3.49,"1,235.46",55.30,683.22
HAWK   LLC,ELDORADO WATER 1 GAL,BEVERAGE : STANDARD,349,1.34,3.59,"1,252.91",62.67,785.25
Golden LLC,COCA COLA CLASSIC 20 OZ,BEVERAGE : STANDARD,344,1.58,2.99,"1,028.56",47.05,483.90
Zuni   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,339,1.74,3.59,"1,217.01",51.53,627.15
HAWK   LLC,RED BULL 12 OZ,BEVERAGE : STANDARD,338,2.06,4.09,"1,382.42",49.62,686.00
Zuni   LLC,AQUAFINA WATER 20 OZ,BEVERAGE : STANDARD,338,1.15,2.29,774.02,49.78,385.32
BOULDER   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT,BEVERAGE : SPECIALITY,337,4.95,9.99,"3,366.63",50.45,"1,698.48"
HAWK   LLC,COFFEE LARGE,CO  : COFFEE & TEA,334,1.00,2.49,831.66,59.84,497.66
CEDAR   LLC,RED BULL ENERGY DRINK 8.4 OZ,BEVERAGE : STANDARD,330,1.66,3.29,"1,085.70",49.66,539.15
Golden LLC,SWISHER SWEET  CIGARILLOS SWEET 2 PK  ,CIGAR & PAPER,330,1.50,1.99,656.70,24.64,161.83
Golden LLC,BIC LIGHTER 50 CT,COUNTER DISPLAY,330,0.91,2.59,854.70,65.00,555.56
BOULDER   LLC,ZYN SPEARMINT 6MG,POUCH,328,6.65,8.99,"2,948.72",26.03,767.52
HAWK   LLC,MARLBORO BOX,CIGARETTES,326,9.92,11.39,"3,692.91",12.94,480.52
Zuni   LLC,S045-S048 JUUL PODS MENTHOL 5% 4PK,VAPE : PRIMARY,326,17.38,29.19,"9,515.94",40.48,"3,851.69"
BOULDER   LLC,SUGAR BEVERAGE FEE 1 LTR,SUGAR FEE  (OPERATIONAL ONLY),326,0.68,0.68,221.68,0.59,1.30
Golden LLC,ZYN CITRUS 6MG,POUCH,324,6.65,8.99,"2,930.74",26.03,758.16
HAWK   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,323,1.74,3.69,"1,191.87",52.85,629.85
CHEYENNE   LLC,REFILL ICE CUP ,CO  : FOUNTAIN,323,0.59,0.99,318.79,40.40,129.20
Golden LLC,AQUAFINA WATER 20 OZ,BEVERAGE : STANDARD,322,1.15,2.29,737.38,49.78,367.08
CHEYENNE   LLC,SONOMA RED 100 BOX,CIGARETTES,321,5.35,6.09,"1,979.25",12.12,236.90
Golden LLC,CAMEL BLUE BOX,CIGARETTES,321,10.27,10.41,"3,378.46",1.34,44.62
Zuni   LLC,LUCKY STRIKE RED 100 FILT,CIGARETTES,313,8.30,7.79,"2,423.64",-6.53,-159.32
Zuni   LLC,ZYN COOL MINT 3MG,POUCH,311,6.65,8.99,"2,795.89",26.03,727.74
CEDAR   LLC,SPRITE 20 OZ,BEVERAGE : STANDARD,309,1.58,2.99,923.91,47.05,434.67
Zuni   LLC,ESSENTIA WATER  1 LTR,BEVERAGE : STANDARD,309,1.51,3.09,954.81,51.13,488.22
Zuni   LLC,Chore Boy Copper Scrubber,HOME GOODS,306,0.64,1.99,608.94,67.91,413.53
Golden LLC,COFFEE LARGE,CO  : COFFEE & TEA,306,1.50,2.49,761.94,39.76,302.94
Golden LLC,RED BULL SEA BLUE EDITION 12 OZ,BEVERAGE : STANDARD,305,2.05,3.99,"1,216.95",48.62,591.70
HAWK   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT,BEVERAGE : SPECIALITY,302,4.95,9.99,"3,016.98",50.45,"1,522.08"
COLFAX   LLC,"$10,000 SUPER BONUS",LOTTERY,302,1.00,1.00,302.00,0.00,0.00
Zuni   LLC,STEEL RESERVE 24 OZ,BEER,301,1.25,2.09,629.09,40.19,252.84
LITTLETON   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,300,2.07,3.99,"1,197.00",48.10,575.76
Zuni   LLC,BUD ICE 1 PK 25 OZ,BEER,300,1.20,2.19,657.00,45.05,296.01
Zuni   LLC,RED BULL ENERGY DRINK 8.4 OZ,BEVERAGE : STANDARD,297,1.53,3.29,977.13,53.46,522.36
CHEYENNE   LLC,COFFEE LARGE,CO  : COFFEE & TEA,296,1.50,2.49,742.02,39.76,293.04
COLFAX   LLC,B&M JAZZ PT 25CT,CIGAR & PAPER,295,1.54,1.99,546.25,22.55,132.40
Golden LLC,AQUAFINA WATER 1 LTR,BEVERAGE : STANDARD,295,1.42,2.99,888.07,52.62,464.15
Golden LLC,ZYN CITRUS 3MG,POUCH,295,6.65,8.99,"2,652.05",26.03,690.30
Golden LLC,$ 5 decade,LOTTERY,294,0.08,5.00,"1,490.00",98.33,"1,445.51"
Zuni   LLC,PARLIAMENT WHITE PACK BOX,CIGARETTES,293,11.36,13.09,"3,835.37",13.19,506.01
BOULDER   LLC,MONSTER ENERGY DRINK 16  OZ,BEVERAGE : STANDARD,291,1.74,3.59,"1,044.69",51.53,538.35
BOULDER   LLC,GUAYAKI YERBA MATE MINT 15.5 OZ,BEVERAGE : SPECIALITY,291,1.92,4.39,"1,277.49",56.34,719.76
Golden LLC,WILD CHERRY CROSSWORD,LOTTERY,289,10.00,10.00,"2,890.00",0.00,0.00
Golden LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT,BEVERAGE : SPECIALITY,289,4.95,9.99,"2,887.11",50.45,"1,456.56"
HAWK   LLC,COCA COLA CLASSIC STOCK AND GRIP 20 OZ,BEVERAGE : STANDARD,288,1.58,3.09,904.73,48.76,433.93
Golden LLC,GLACEAU SMART WATER 23.7 OZ,BEVERAGE : STANDARD,288,1.45,2.99,861.12,51.55,443.89
WHEAT   LLC,Ice Bag Small,EXTERIOR : ICE,287,3.49,3.49,"1,001.63",0.00,0.00
HAWK   LLC,CAMEL BLUE BOX,CIGARETTES,287,10.27,10.41,"2,957.29",1.34,39.89
BOULDER   LLC,"$500,000 crossword",LOTTERY,284,0.00,20.00,"5,680.00",100.00,"5,680.00"
Zuni   LLC,AQUAFINA WATER 1 LTR,BEVERAGE : STANDARD,281,1.42,2.89,812.09,50.98,414.03
HAWK   LLC,FIREWOOD PINE BUNDLE 1 CT,EXTERIOR,279,3.50,8.49,"2,360.13",58.78,"1,392.21"
HAWK   LLC,MDEW 20 OZ,BEVERAGE : STANDARD,278,1.61,3.09,859.02,47.88,411.33
Golden LLC,RED BULL REGULAR S/F 12 OZ,BEVERAGE : STANDARD,278,2.05,3.99,"1,109.22",48.62,539.32
CHEYENNE   LLC,COCA COLA CLASSIC STOCK AND GRIP 20 OZ,BEVERAGE : STANDARD,277,1.44,2.99,828.23,52.01,430.74
CEDAR   LLC,"$2 monopoly $20,000!",LOTTERY,275,2.00,2.00,550.00,0.00,0.00
CEDAR   LLC,FOUNTAIN REFILL ,CO  : FOUNTAIN,275,0.72,1.19,327.25,39.50,129.25
LITTLETON   LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,274,1.96,3.29,901.46,40.43,364.42
CEDAR   LLC,MARLBORO 72 BOX,CIGARETTES,272,9.92,10.89,"2,939.42",8.94,264.93
HAWK   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,272,1.74,3.69,"1,003.68",52.85,530.40
CHEYENNE   LLC,GLACEAU SMARTWATER 1 LTR,BEVERAGE : STANDARD,270,1.68,3.49,942.30,51.86,488.70
Zuni   LLC,ZYN COFFEE 6MG,POUCH,267,6.65,8.99,"2,400.33",26.03,624.78
BOULDER   LLC,COCA COLA CLASSIC 20 OZ,BEVERAGE : STANDARD,267,1.58,2.99,796.85,47.05,375.59
BOULDER   LLC,RED BULL ENERGY DRINK 8.4 OZ,BEVERAGE : STANDARD,265,1.52,3.29,871.85,53.77,468.84
COLFAX   LLC,$50 FRENZY,LOTTERY,263,0.00,1.00,263.00,100.00,263.00
BOULDER   LLC,MODELO ESPECIAL 24 OZ,BEER,263,2.65,3.99,"1,049.37",33.48,351.34
CEDAR   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,262,1.74,3.59,940.58,51.53,484.70
Golden LLC,"$5 monopoly $100,000!",LOTTERY,260,5.00,5.00,"1,300.00",0.00,0.00
HAWK   LLC,COFFEE SMALL,CO  : COFFEE & TEA,259,1.00,1.89,489.51,47.09,230.51
CHEYENNE   LLC,DR PEPPER 20 OZ,BEVERAGE : STANDARD,258,1.44,2.99,769.94,52.01,401.19
Zuni   LLC,MODELO ESPECIAL 24 OZ,BEER,258,2.65,3.99,"1,029.42",33.48,344.66
Golden LLC,ZYN COOL MINT 6MG,POUCH,258,6.65,8.99,"2,319.42",26.03,603.72
CEDAR   LLC,$ 1 decade,LOTTERY,257,0.00,1.00,257.00,99.67,256.15
WHEAT   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,257,10.85,12.61,"3,222.29",13.96,452.32
Golden LLC,COCA COLA DIET ZERO 20 OZ,BEVERAGE : STANDARD,257,1.58,2.99,768.43,47.05,361.52
CEDAR   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,255,1.74,3.59,915.45,51.53,471.75
BOULDER   LLC,"$1 monopoly $10,000!",LOTTERY,255,0.00,1.00,255.00,100.00,255.00
BOULDER   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,254,9.92,11.39,"2,878.44",12.94,374.40
LITTLETON   LLC,MARLBORO BOX,CIGARETTES,253,9.92,11.39,"2,869.09",12.94,372.92
Zuni   LLC,ZYN SMOOTH 6MG,POUCH,253,6.65,8.99,"2,310.43",26.03,592.02
WHEAT   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,251,9.92,11.39,"2,802.08",12.94,369.97
BOULDER   LLC,AMERICAN SPIRIT ORG 85 BX,CIGARETTES,250,11.33,13.18,"3,535.08",14.04,462.50
HAWK   LLC,MARLBORO 100 BOX,CIGARETTES,249,9.92,11.39,"2,821.49",12.94,367.03
CEDAR   LLC,RED BULL 16 OZ,BEVERAGE : STANDARD,248,2.93,4.99,"1,237.52",41.37,511.92
Golden LLC,ELDRADO WATER 1.5 LTR,BEVERAGE : STANDARD,248,0.88,3.29,815.92,73.40,598.92
CEDAR   LLC,GLACEAU SMARTWATER 1 LTR ,BEVERAGE : STANDARD,246,1.83,3.49,858.54,47.61,408.78
Zuni   LLC,ZYN PEPPERMINT 3MG,POUCH,245,6.65,8.99,"2,202.55",26.03,573.30
HAWK   LLC,DR PEPPER 20 OZ,BEVERAGE : STANDARD,244,1.61,3.09,753.96,47.88,361.02
CHEYENNE   LLC,SMOKE SHOP $3.99,SMOKE SHOP,243,0.50,3.99,995.51,87.40,847.41
Zuni   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,243,10.85,12.61,"3,064.46",13.96,427.68
Zuni   LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,243,1.50,3.09,750.87,51.46,386.37
Zuni   LLC,REDBULL SUMMER EDITION ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,242,2.06,3.99,965.58,48.36,466.96
Golden LLC,BINGO TRIPLER,LOTTERY,242,5.00,5.00,"1,210.00",0.00,0.00
CEDAR   LLC,MARLBORO 100 BOX,CIGARETTES,241,9.92,11.39,"2,731.39",12.94,355.23
HAWK   LLC,AMERICAN SPIRIT 85 BOX YE,CIGARETTES,241,10.85,12.61,"3,018.22",13.96,424.16
Zuni   LLC,SPRITE 20 OZ,BEVERAGE : STANDARD,241,1.58,2.99,720.59,47.05,339.01
Golden LLC,CAMEL CRUSH MENTHOL BOX,CIGARETTES,239,10.27,10.81,"2,558.19",4.99,128.82
CHEYENNE   LLC,BURGER ,CO  : HOT FOOD,238,3.60,5.99,"1,419.63",39.90,568.82
Zuni   LLC,COFFEE MEDIUM,CO  : COFFEE & TEA,237,1.32,2.19,519.03,39.73,206.19
Zuni   LLC,CELSIUS SPARKLING ORANGE ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,237,1.52,2.99,708.63,49.14,348.20
Golden LLC,RED BULL COCONUT BERRY 12 OZ,BEVERAGE : STANDARD,237,2.05,3.99,945.63,48.62,459.78
HAWK   LLC,SWISHER SO2 CLASSIC 30 / 2 CT ,CIGAR & PAPER,235,1.42,1.99,467.65,28.81,134.75
CHEYENNE   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,234,1.68,3.59,840.06,53.20,446.94
HAWK   LLC,COPENHAGEN LONG CUT NATUR,CHEW,233,8.46,9.79,"2,281.07",13.54,308.96
HAWK   LLC,COLD SANDWISH,CO  : KITCHEN,231,9.00,9.00,"2,079.00",0.00,0.00
Zuni   LLC,CON NBRW YUZU MIXED PACK - CITRUS 12 PK 12 OZ,BEVERAGE : SPECIALITY,231,4.00,6.69,"1,545.39",40.22,621.60
BOULDER   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,230,1.74,3.59,823.20,51.53,425.50
CHEYENNE   LLC,MDEW 1 LTR,BEVERAGE : STANDARD,229,1.96,3.59,822.11,45.45,373.66
HAWK   LLC,COFFEE MEDIUM,CO  : COFFEE & TEA,226,1.32,2.19,494.94,39.73,196.62
Zuni   LLC,BIC LIGHTER MINI 50+3 PK,COUNTER DISPLAY,226,0.79,2.19,494.94,63.82,315.90
Zuni   LLC,COFFEE SMALL,CO  : COFFEE & TEA,226,1.13,1.89,427.14,40.21,171.76
Zuni   LLC,RED BULL SUGARFREE 12 OZ,BEVERAGE : STANDARD,226,2.06,3.99,901.74,48.36,436.09
Golden LLC,FOUNTAIN LARGE ,CO  : FOUNTAIN,226,1.20,1.99,449.74,39.70,178.54
CHEYENNE   LLC,COFFEE MEDIUM,CO  : COFFEE & TEA,223,1.32,2.19,488.37,39.73,194.01
CHEYENNE   LLC,GLACEAU SMART WATER 23.7 OZ,BEVERAGE : STANDARD,223,1.36,2.99,666.77,54.52,363.49
BOULDER   LLC,ZYN PEPPERMINT 6MG,POUCH,222,6.65,8.99,"1,995.78",26.03,519.48
Golden LLC,MDEW 20 OZ,BEVERAGE : STANDARD,220,1.61,2.99,657.80,46.14,303.51
COLFAX   LLC,BIC LIGHTER  50+3 PK,COUNTER DISPLAY,218,0.96,2.59,564.62,62.94,355.38
Golden LLC,NEWPORT BOX,CIGARETTES,218,10.80,12.40,"2,687.03",12.94,349.67
CEDAR   LLC,RED BULL COCONUT BERRY 12 OZ,BEVERAGE : STANDARD,217,2.19,3.99,865.83,45.23,391.60
BOULDER   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,216,10.85,12.61,"2,733.65",13.96,380.16
CEDAR   LLC,$ 5 decade,LOTTERY,215,0.08,5.00,"1,075.00",98.33,"1,057.09"
LITTLETON   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,215,1.74,3.59,771.85,51.53,397.75
Zuni   LLC,NEWPORT BOX,CIGARETTES,215,10.80,12.40,"2,672.74",12.94,344.86
BOULDER   LLC,SUGAR BEVERAGE FEE 14 OZ,SUGAR FEE  (OPERATIONAL ONLY),214,0.28,0.28,59.92,0.00,0.00
BOULDER   LLC,BIC LIGHTER 50 CT,COUNTER DISPLAY,213,0.98,2.59,551.67,62.16,342.93
BOULDER   LLC,ZYN COOL MINT 6MG,POUCH,212,6.49,8.99,"1,905.88",31.03,530.85
CEDAR   LLC,COPENHAGEN LONG CUT NATUR,CHEW,211,8.46,9.79,"2,065.69",13.54,279.79
HAWK   LLC,RED BULL 8.4 OZ,BEVERAGE : STANDARD,211,1.53,3.39,715.29,54.83,392.21
Golden LLC,ON NICOTINE POUCHES 4MG M,POUCH,211,5.30,6.79,"1,435.87",21.97,314.81
CEDAR   LLC,LUCKY STRIKE RED KING FIL,CIGARETTES,210,8.30,7.79,"1,629.52",-6.53,-106.89
HAWK   LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,210,1.96,3.99,837.90,50.88,426.30
COLFAX   LLC,SMOKE SHOP $2.99,SMOKE SHOP,209,0.10,2.99,624.42,96.76,604.66
Golden LLC,ZYN CINNAMON 6MG,POUCH,209,6.65,8.99,"1,877.77",26.03,489.06
Golden LLC,RED BULL YELLOW 12 OZ,BEVERAGE : STANDARD,206,2.05,3.99,821.94,48.62,399.64
CEDAR   LLC,AQUAFINA WATER 20 OZ,BEVERAGE : STANDARD,204,1.15,2.29,467.16,49.78,232.56
WHEAT   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,204,1.74,3.59,732.36,51.53,377.40
CEDAR   LLC,GLACEAU SMART WATER 700 ML,BEVERAGE : STANDARD,203,1.45,2.99,612.95,51.55,312.88
HAWK   LLC,PEPSI 20 OZ,BEVERAGE : STANDARD,203,1.61,3.09,627.27,47.88,300.36
LITTLETON   LLC,COCA COLA CLASSIC STOCK AND GRIP 20 OZ,BEVERAGE : STANDARD,203,1.58,2.99,606.97,47.05,285.56
