Store Name,Description,Department,Qty Sold,Cost,Retail,Total Retail,Margin,Profit
CHEYENNE   LLC,FANTA PINEAPPLE SODA 20 OZ,BEVERAGE : STANDARD,36,1.25,2.99,107.64,58.19,62.64
CHEYENNE   LLC,MONSTER REHAB PEACH TEA 16 OZ,BEVERAGE : STANDARD,36,1.68,3.59,129.24,53.20,68.76
CHEYENNE   LLC,MONSTER ENERGY ULTRA PEACHY KEEN ZERO SUGAR 16 OZ,BEVERAGE : STANDARD,36,1.68,3.59,129.24,53.20,68.76
CHEYENNE   LLC,ZIZAG HEMP WRAP BLAZIN BLUE,CIGAR & PAPER,36,0.50,0.99,35.64,49.49,17.64
CHEYENNE   LLC,C4 ENERGY  SKITTLES 16 OZ,BEVERAGE : STANDARD,36,1.75,3.19,113.96,45.11,51.81
COLFAX   LLC,LIFEWATER PURIFIED 1 LTR ,BEVERAGE : STANDARD,36,1.67,3.29,118.44,49.34,58.44
COLFAX   LLC,CLASSIC CAN 16 OZ,BEVERAGE : STANDARD,36,1.19,2.39,85.74,50.26,43.25
COLFAX   LLC,BOMB POP CHERRY LIME & BLUE RASPBERRY - 4.5 FL OZ,ICE CREAM,36,1.79,2.09,82.44,43.02,10.94
COLFAX   LLC,ARIZONA GREEN TEA 22OZ,BEVERAGE : STANDARD,36,0.87,1.99,72.04,56.32,40.35
LITTLETON   LLC,STELLA ARTIOS 25 OZ UIC 15,BEER,36,2.72,4.59,165.24,40.67,67.20
LITTLETON   LLC,COCA COLA CHERRY COKE 20 OZ,BEVERAGE : STANDARD,36,1.58,2.99,107.64,47.05,50.64
LITTLETON   LLC,GATORADE ORANGE 28 OZ,BEVERAGE : STANDARD,36,1.99,3.39,123.04,41.30,50.40
LITTLETON   LLC,MONSTER ENERGY TAURINE ZERO SUGAR 16 OZ,BEVERAGE : STANDARD,36,1.74,3.59,129.24,51.53,66.60
LITTLETON   LLC,RED BULL SEA BLUE EDITION 12 OZ,BEVERAGE : STANDARD,36,2.07,3.99,143.64,48.10,69.09
LITTLETON   LLC,RED BULL YELLOW 8.4 OZ,BEVERAGE : STANDARD,36,1.54,3.29,118.44,53.14,62.94
LITTLETON   LLC,RED BULL SUGARFREE 16 OZ,BEVERAGE : STANDARD,36,2.93,4.99,179.64,41.37,74.31
LITTLETON   LLC,$ 5 decade,LOTTERY,36,0.08,5.00,180.00,98.33,177.00
LITTLETON   LLC,100 X $10,LOTTERY,36,9.30,10.00,360.00,7.00,25.20
LITTLETON   LLC,VITAMIN ENERGY TROPICAL GLACEAU 20 OZ,BEVERAGE : STANDARD,36,1.45,2.79,100.44,47.91,48.12
LITTLETON   LLC,CORE WATER 34.4 OZ,BEVERAGE : STANDARD,36,1.67,2.89,104.04,42.33,44.04
LITTLETON   LLC,CELSIUS MANGO PASSION FRUIT 12 OZ,BEVERAGE : STANDARD,36,1.52,2.99,107.64,49.14,52.89
Zuni   LLC,MARLBORO SILVER PACK BOX,CIGARETTES,36,9.92,11.39,408.34,12.94,53.06
Zuni   LLC,REESES OUTRAGEOUS W/PIECE,CANDY : BARS,36,1.75,3.29,118.44,46.83,55.46
Zuni   LLC,BON APPETIT CHEESE CROISS,BAKERY & PASTRY,36,1.87,3.19,114.84,41.42,47.57
Zuni   LLC,TROPICANA APPLE ORCHARD STYLE 11 OZ,BEVERAGE : STANDARD,36,2.00,3.39,122.04,41.00,50.04
Zuni   LLC,COPENHAGEN LONG CUT WINTE,CHEW,36,7.72,8.89,320.04,13.18,42.19
Zuni   LLC,SNAPPLE KIWI STRAWBERRY 32 OZ,BEVERAGE : STANDARD,36,1.74,2.69,97.44,35.25,34.14
Zuni   LLC,TURKEY CRK PRK SKN HOT 2/,SALTY SNACKS,36,1.03,2.29,82.44,55.06,45.39
Zuni   LLC,DS036 SIERRA NEVADA HAZY LITTLE THING 19.2 OZ,BEER,36,2.44,4.59,165.24,46.77,77.28
Zuni   LLC,DS035 BIG LITTLE THING IPA 19.2 OZ,BEER,36,2.44,4.19,150.84,41.69,62.88
Zuni   LLC,FIREBALL CINNAMON WH 100  ML,LIQUOR,36,1.11,1.99,73.14,44.22,31.68
Zuni   LLC,RED BULL JUNEBERRY SUMMER EDITION 8.4 OZ,BEVERAGE : STANDARD,36,1.53,3.29,118.44,53.46,63.32
Zuni   LLC,WHITE CLAW BLCKBRRY 4/6 PK  12 OZ,BEER,36,8.85,12.59,453.24,29.71,134.64
Zuni   LLC,RAW ROLLING PAPER 1 PK,CIGAR & PAPER,36,0.67,1.99,71.64,66.52,47.66
Zuni   LLC,DS042 NEW BELGIUM VOODOO RANGER JUICY HAZE 19.2 OZ,BEER,36,2.44,4.19,144.54,41.69,62.88
Zuni   LLC,L.E.S.70115 TOOTH BRUSH &,HBC,36,1.80,4.09,147.24,55.99,82.44
Zuni   LLC,SMOODI SMOOTHIE BRAIN BOO,F'REAL,36,4.46,6.99,251.64,36.17,91.02
Zuni   LLC,BAREBELLS BAR CHOCOLATE D,PROTEIN BARS,36,2.04,4.29,154.44,52.56,81.18
BOULDER   LLC,AMERICAN SPIRIT MEN 85 BO,CIGARETTES,36,11.33,13.18,472.59,14.04,66.60
BOULDER   LLC,GATORADE ZERO GRP 28  OZ,BEVERAGE : STANDARD,36,1.99,3.39,123.44,41.30,50.40
BOULDER   LLC,MEONSTER ULTRA VICE GV SF 16 OZ,BEVERAGE : STANDARD,36,1.74,3.59,130.04,51.53,66.60
BOULDER   LLC,DS077 STEEL RESERVE 1 PK 24 OZ,BEER,36,1.25,2.09,75.24,40.19,30.24
BOULDER   LLC,TRULY WILD BERRY HARD SELTZER 24 OZ,BEER,36,2.65,3.99,143.64,33.58,48.24
BOULDER   LLC,CON UCH MANGO 12 PACK 12 OZ,BEVERAGE : SPECIALITY,36,3.75,6.99,256.64,46.35,116.64
BOULDER   LLC,ZYN SMOOTH 3MG,POUCH,36,6.49,8.99,323.64,27.85,90.14
BOULDER   LLC,CORE POWER PROTEIN MILK SHAKE 14 OZ,BEVERAGE : STANDARD,36,2.60,4.69,168.84,44.47,75.09
BOULDER   LLC,CELSIUS ESSENTIALS BLUE CRUSH 16 OZ,BEVERAGE : STANDARD,36,1.75,3.19,114.84,45.14,51.84
BOULDER   LLC,CELSIUS KIWI GUAVA 12  OZ,BEVERAGE : STANDARD,36,1.52,2.99,107.64,49.14,52.89
Golden LLC,PYRAMID BX RED 100,CIGARETTES,36,8.74,10.29,362.34,15.04,55.73
Golden LLC,MDEW VOLTAGE 20 OZ,BEVERAGE : STANDARD,36,1.61,2.99,112.88,46.14,49.67
Golden LLC,LIFE WATER 700 ML,BEVERAGE : STANDARD,36,1.61,2.89,104.04,44.20,45.99
Golden LLC,CAMEL CLASSIC TURK SILVER,CIGARETTES,36,11.27,12.99,467.64,13.21,61.78
Golden LLC,MINUTE MAID CRANBERRY APPLE RASPBERRY 12 OZ,BEVERAGE : STANDARD,36,1.54,2.99,107.64,48.54,52.25
Golden LLC,MT CT HOT LIM,FRITO LAYS,36,4.35,5.89,212.04,26.15,55.44
Golden LLC,FY HOT,FRITO LAYS,36,1.88,2.69,96.84,30.11,29.16
Golden LLC,MODELO CHELADA LIMON Y SAL 1 PK 24 OZ,BEER,36,2.65,3.99,143.64,33.48,48.09
Golden LLC,POWERADE FRUIT PUNCH 28 OZ,BEVERAGE : STANDARD,36,1.41,2.89,98.04,51.19,53.26
Golden LLC,COPENHAGEN LONG CUT MINT,CHEW,36,7.72,8.89,320.04,13.18,42.19
Golden LLC,GUMMI NERDS GUMMY CLUSTER,CANDY : BOX & PEG,36,2.16,4.89,176.04,55.85,98.31
Golden LLC,PURE LEAF BLACKBERRY 18.5 OZ,BEVERAGE : STANDARD,36,1.60,2.89,104.04,44.64,46.44
Golden LLC,FIREWOOD PINE BUNDLE 1 CT,EXTERIOR,36,3.50,8.49,295.14,58.78,179.64
Golden LLC,ZYN CHILL 6MG,POUCH,36,6.65,8.99,323.64,26.03,84.24
